"1boy","1男孩"
"symmetrical hand pose","对称手姿势"
"symmetrical pose","对称姿势"
"symmetry","对称"
"symphogear pendant","symhogear 吊坠"
"symphony regalia","交响乐王权"
"synchroaki","同步"
"syndra","辛德拉"
"synecdoche","提法"
"synthesizer","合成器"
"synthesizer v","合成器 v"
"syokuuuuuuuuumura","syokuuuuuuuuuumura"
"syringe","注射器"
"syringe gun","注射器枪"
"syroh","锡罗"
"syrup","糖浆"
"syunzou","顺走"
"syuri22","苏里22"
"syurimp","糖浆"
"t k g","吨公斤"
"t t","tt"
"t-34","t-34"
"t-34-85","t-34-85"
"t-asama","t-asama"
"t-back","t-back"
"t-elos","t-elos"
"t-head admiral","T 头海军上将"
"t-head trainer","T 头训练器"
"t-okada","t-冈田"
"t-pose","姿势"
"t-ray","T 射线"
"t-shirt","t 恤"
"t.m. opera o (umamusume)","tm 歌剧 o (umamusume)"
"t.m.revolution","tm革命"
"t2r","t2r"
"t@ke-g","t@ke-g"
"ta girls school uniform","ta 女校服"
"ta-class battleship","ta级战列舰"
"taa (acid)","taa（酸）"
"tab head","标签头"
"tabard","战袍"
"tabata hisayuki","田畑久之"
"tabby cat","虎斑猫"
"tabe koji","大部曲"
"tabi","袜带"
"tabi (tabisumika)","布袜 (tabisumika)"
"tabigarasu","旅社"
"tabitha (zero no tsukaima)","塔比莎（零之使魔）"
"table","表"
"table sex","表性"
"table tennis","乒乓球"
"table tennis ball","乒乓球"
"table tennis paddle","乒乓球拍"
"tablecloth","桌布"
"tablet pc","平板电脑"
"tabletorgy","平板电脑"
"tabris","大布里斯"
"tabris-xx","tabris-xx"
"tabuchi (tabuchisanchi)","田渊 (tabuchisanchi)"
"tacco (tikeworld)","烟草（tikeworld）"
"tachi-e","立绘"
"tachibana arisu","橘有栖"
"tachibana hibiki (symphogear)","tachibana hibiki (symhogear)"
"tachibana himeko","橘姬子"
"tachibana jun'ichi","橘纯一"
"tachibana kanade","橘金手"
"tachibana makoto","立花诚"
"tachibana marika","tachibana marika"
"tachibana miya","立花宫"
"tachibana momoka","橘桃花"
"tachibana omina","橘大名"
"tachibana rei","橘丽"
"tachibana roku","橘六"
"tachibana shiro (idolmaster)","tachibana shiro (偶像大师)"
"tachibana taki","橘泷483"
"tachibana yuu","橘优"
"tachikawa mimi","立川咪咪"
"tachikawa mushimaro","立川虫摩"
"tachikoma","立驹"
"tachikoma (mousou teikoku)","tachikoma (mousou teikoku)"
"tachimi (basue)","立见（基础）"
"tachimukai yuuki","立向井优树148"
"tachitsu teto","立津teto"
"tackle","铲球"
"taco","炸玉米饼"
"tactical clothes","战术服"
"tactical surface fighter","战术水面战斗机"
"tactics","战术"
"tactics ogre","战术食人魔"
"tactile paving","触觉铺路"
"tada no nasu","多田那须"
"tada riina","多田 riina"
"tadano (toriaezu na page)","多田野(toriaezu na页)"
"tadano akira","多田野晃"
"tadano hitohito","多田野一人"
"tadano kagekichi","多田野景吉"
"tadano magu","多田野麻姑"
"tadanoshi kabane","忠志 kabane"
"tadashi","忠"
"tadokoro megumi","多所惠"
"tadokoro nurikabe","多所涂壁"
"tadokoro teppei","多所铁平"
"taedu","大都"
"taesi","大司"
"tafuto","塔夫托"
"tag","标签"
"tagme","标记"
"taguchi kenji (omaep)","田口健二 (omaep)"
"taguchi takahiro","田口隆宏"
"tahita1874","大溪地1874"
"tahra","塔赫拉"
"tahya","塔海亚"
"tai (nazutai)","泰（nazutai）"
"tai0201","tai0201"
"taichou haori","台州外罩"
"taiga (ryukyu-6102-8)","大河 (ryukyu-6102-8)"
"taiga takeru","针叶林"
"taigei (kancolle)","太极 (kancolle)"
"taiho shichauzo","大凤七造"
"taihou (azur lane)","台后(碧蓝航线)"
"taihou (enraptured companion) (azur lane)","taihou (陶醉的同伴) (azur Lane)"
"taihou (forbidden feast) (azur lane)","太后（禁宴）（碧蓝航线）"
"taihou (kancolle)","太后 (kancolle)"
"taihou (muse) (azur lane)","太后（缪斯）（碧蓝航线）"
"taihou (phoenix's spring song) (azur lane)","太后（凤凰春歌）（碧蓝航线）"
"taihou (temptation on the sea breeze) (azur lane)","太后（海风的诱惑）（碧蓝航线）"
"taiki (6240taiki)","太极 (6240太极)"
"taiki (luster)","taiki (光泽)"
"taiki shuttle (umamusume)","太极穿梭机 (umamusume)"
"taiko drum","太鼓"
"taiko no tatsujin","太鼓之达人"
"taiko sticks","太鼓棒"
"taikogane sadamune","太古金贞宗"
"taikoubou","太口坊"
"taikyokuturugi","大极土木"
"tail","尾巴"
"tail around leg","尾巴绕腿"
"tail bell","尾铃"
"tail between legs","双腿之间的尾巴"
"tail biting","咬尾"
"tail bow","尾弓"
"tail censor","尾审查器"
"tail feathers","尾羽"
"tail fin","尾鳍"
"tail flower","尾花"
"tail fondling","尾巴抚摸"
"tail grab","抓尾"
"tail hug","尾巴拥抱"
"tail insertion","尾部插入"
"tail lift","尾翼升降机"
"tail masturbation","尾巴手淫"
"tail ornament","尾饰"
"tail piercing","尾部穿孔"
"tail pull","尾拉"
"tail raised","尾巴抬起"
"tail ribbon","尾丝带"
"tail ring","尾环"
"tail through clothes","穿过衣服的尾巴"
"tail wagging","尾巴摇摆"
"tail wrap","尾套"
"tailblue","尾蓝"
"tailcoat","燕尾服"
"tailjob","尾作业"
"taillow","尾流"
"tailmon","尾门"
"tailred","尾随"
"tails (sonic)","尾巴（声波）"
"tailtiu (fire emblem)","tailtiu（火徽）"
"taimadou gakuen 35 shiken shoutai","taimadou gakuen 35 shiken sunai"
"taimanin (series)","taimanin (系列)"
"taimanin asagi","taimanin asagi"
"taimanin asagi kessen arena","taimanin asagi kessen 竞技场"
"taimanin murasaki","taimanin murasaki"
"taimanin rpgx","台马宁 RPGx"
"taimanin suit","台马宁套装"
"taimanin yukikaze","taimanin 雪风"
"tainaka ritsu","田中立"
"taira no kagekiyo (fate)","平之影清（命运）"
"taira tsukune","平月"
"taira yuuki","平优树"
"taisa (cookie)","泰莎（饼干）"
"taisa (kari)","泰莎 (kari)"
"taisa (lovemokunae)","taisa (lovemokunae)"
"taishi (moriverine)","太师 (moriverine)"
"taishi (picchiridou)","太师 (picchiridou)"
"taisho (gumiyuki)","大正 (gumiyuki)"
"taishou yakyuu musume","太守药休娘"
"taiwan","台湾"
"taiwan (hetalia)","台湾（黑塔利亚）"
"taiyaki","鲷鱼烧"
"taiyaki (astre)","鲷鱼烧 (astre)"
"taiyou (kancolle)","太油(kancolle)"
"taji (crowview)","塔吉 (crowview)"
"tajikarao (housamo)","tajikarao (housamo)"
"tajima ryuushi","但马龙志"
"tajima yoshikazu","但马义和"
"tajima yukie","田岛由纪128"
"tajima yuuki","田岛优树"
"taka (taka wo kukuru)","塔卡 (taka wo kukuru)"
"taka (takahirokun)","塔卡 (takahirokun)"
"taka (tsmix)","塔卡 (tsmix)"
"taka-kun","高君"
"taka-michi","高道"
"takada akemi","高田明美"
"takadoya","高户屋"
"takafuji kako","高富士花子"
"takafumi","高文"
"takagaki kaede","高垣枫"
"takagi (tansuke)","高木 (tansuke)"
"takagi hideaki","高木秀明"
"takagi saya","高木小夜"
"takagi-san","高木先生"
"takahara ayumi","高原步美"
"takaharu","高春"
"takahashi (k2ta7)","高桥 (k2ta7)"
"takahashi mugi","高桥麦"
"takahashi reiko","高桥玲子"
"takahashi ren","高桥仁"
"takahashi tetsuya","高桥哲也"
"takahashi umori","高桥 umori"
"takahata yuki","高畑由纪"
"takahero","高雄"
"takaishi takeru","高石健"
"takajo kyoji","高城恭司"
"takakamo shizuno","高贺茂静野"
"takaku toshihiko","高久俊彦"
"takakura himari","高仓姫万里"
"takakura kanba","高仓神场"
"takakura shouma","高仓正马"
"takamachi nanoha","高町奈叶"
"takamachi nanoha (cosplay)","高町奈叶（角色扮演）"
"takamachi nanoha (exceed mode)","高町纳米叶（超越模式）"
"takamaki anne","高卷安妮"
"takaman (gaffe)","塔卡曼（失态）"
"takamatsu","高松"
"takami akio","高见明夫"
"takami chika","高见千花"
"takami masahiro","高见正弘"
"takamichi","高道"
"takamine nadare","高岭奈达瑞"
"takamine noa","高岭 noa"
"takamine takane","高岭高音"
"takamiya ren","高宫仁"
"takamiya rion","高宫 rion"
"takamori aiko","高森爱子"
"takamori haruka","高森遥"
"takamoto akisa","高本秋纱"
"takamura","高村"
"takamura kazuhiro","高村和弘"
"takamura wamu","高村 wamu"
"takamura yui","高村结衣"
"takana","高名"
"takana shinno","高名 shinno"
"takanae kyourin","高苗杏林"
"takanaga kouhei","高永光平"
"takanami (kancolle)","高波 (kancolle)"
"takanashi akihito","高梨明仁"
"takanashi hikari","高梨光"
"takanashi hiyori","高梨日和"
"takanashi kei (hitsujikan)","高梨系 (hitsujikan)"
"takanashi kiara","高梨 kiara"
"takanashi kotori","高梨小鸟"
"takanashi rikka","高梨梨花"
"takanashi ringo","高梨林果"
"takanashi sora","高梨空"
"takanashi souta","高梨相太"
"takanashi touka","高梨藤香"
"takanashi yomi","高梨读物"
"takanashi-a","高梨a"
"takane lui","雷隆"
"takane manaka","高根真中"
"takano itsuki","高野伊月"
"takano miyo","高野美代"
"takano natsuki","高野夏树"
"takano yuki (allegro mistic)","高野由纪 (allegro mistic)"
"takao (aoki hagane no arpeggio)","takao (aoki hagane no arpeggio)"
"takao (azur lane)","高尾（碧蓝航线）"
"takao (beach rhapsody) (azur lane)","takao (海滩狂想曲) (azur Lane)"
"takao (d-frag!)","高尾 (d-frag!)"
"takao (full throttle charmer) (azur lane)","takao（全油门魅力者）（碧蓝航线）"
"takao (kancolle)","高尾 (kancolle)"
"takao (school romanza) (azur lane)","takao (school romanza) (azur Lane)"
"takaoka yukari","高冈由香里"
"takaomi (orenchi no maidosan)","takaomi (orenchi no maidosan)"
"takapiko","高皮子"
"takara akihito","宝明仁"
"takara joney","宝琼尼"
"takara miyuki","宝美雪"
"takarada rikka","宝田梨花"
"takaramonozu","宝物"
"takasaki yuu","高崎悠"
"takase kanan","高濑加南"
"takase mizuki","高濑水树"
"takase muh","高濑muh"
"takashi (huzakenna)","takashi (huzakenna)"
"takashi shirogane","白银隆"
"takashia (akimototakashia)","takashia (秋元高士)"
"takashima","高岛"
"takasu ryuuji","高须龙二"
"takasugi heppu","高杉七风"
"takasugi kou","高杉口"
"takasugi shinsuke","高杉真介"
"takato kurosuke","高人黑助"
"takatora","高虎"
"takatsu keita","隆津启太"
"takatsukasa yue","高笠月"
"takatsuki akira","高月晃"
"takatsuki ichi","市隆月"
"takatsuki ichika","高月一香"
"takatsuki kahiro","高月嘉弘"
"takatsuki nato","takatsuki 北约"
"takatsuki yayoi","高月弥生"
"takatun223","takatun223"
"takaya n","高屋 n"
"takaya noriko","高屋纪子"
"takayaki","高烧"
"takayama haruka","高山遥"
"takayama kisai","高山鬼斋"
"takayama maria","高山玛丽亚"
"takayama sayoko","高山小夜子"
"takayama toshiaki","高山俊明"
"takayama toshinori","高山敏典"
"take (draghignazzo)","采取 (draghignazzo)"
"take (illustrator)","采取（插画）"
"take (shokumu-taiman)","采取（shokumu-taiman）"
"take (trude1945oneetyan)","采取（trude1945oneetyan）"
"take it home","带回家"
"take shinobu","带忍者"
"take tonbo","拿东宝"
"take toshiaki","以toshiaki"
"take your pick","任你选"
"takeashiro","武城"
"takeba yukari","竹叶由香里"
"takebe saori","武部沙织 2996"
"takebi","武比"
"takecha","竹茶"
"takeda aranobu","武田荒信"
"takeda harumi (shiromanta)","武田晴美 (shiromanta)"
"takeda hiromitsu","武田弘光"
"takeda kanryuusai","武田观龙斋"
"takeda yukimura","武田幸村"
"takehana note","竹花笔记"
"takei hisa","武井久佐"
"takei junko","武井纯子"
"takei ooki","武井大木"
"takemaru (housamo)","武丸 (housamo)"
"takemi tae","武见泰"
"takemikazuchi (muvluv)","竹三一 (muvluv)"
"takemori shintarou","武森信太郎"
"takemoto izumi (style)","武本泉（风格）"
"takemura kou","竹村口"
"takemura sessyu","竹村 sessyu"
"takenaka","竹名"
"takenaka hanbee (oda nobuna no yabou)","takeaka hanbee (oda nobuna no yabou)"
"takenashi eri","武志绘里"
"takenoko no sato (food)","竹子之里（食品）"
"takenoko no you","竹子没有你"
"takenouchi sora","竹内空"
"takepon","采取"
"takepon1123","takepon1123"
"takeponi","塔克波尼"
"taker (flamestorm)","接受者（火焰风暴）"
"taker pov","接受者 pov"
"takeshima eku","竹岛eku"
"takeshisu","武士宿"
"taketatsu ayana","竹达绫花"
"taketora suzume","竹虎铃目"
"takeu","武兜"
"takeuchi aya","竹内绫117"
"takeuchi takashi","竹内隆"
"takeuchi takashi (style)","竹内隆（风格）"
"takeuma","武马"
"takeya masami","武谷正美"
"takeya yuki","武也由纪"
"takeya yuuki","武也优树"
"takeyuu","武友"
"taki (soulcalibur)","塔基（灵魂之剑）"
"taki eri","泷绘里"
"taki minashika","泷minashika"
"takigawa geenito","泷川 geenito"
"takigawa yuu","泷川悠"
"takiki","泷木"
"takimoto hifumi","泷本风美"
"takimoto yukari","泷本由香里"
"taking picture","拍照"
"takino tomo","泷野友"
"takio (kani sama)","takio (kani sama)"
"takishima asaka","泷岛朝霞"
"takita (takita3411)","泷田 (takita3411)"
"takitarou","泷太郎"
"takitsubo rikou","泷壶理光193"
"takizawa asuka","泷泽明日香171"
"takizawa kyouko","泷泽恭子"
"tako (plastic protein)","tako（塑料蛋白）"
"tako-san wiener","高山维也纳"
"takoluka","塔科卢卡"
"takom","塔康"
"takomeshi","包饭"
"takoneru","塔科内鲁"
"takorice","塔科里切"
"takotsu","章鱼"
"takoyaki","章鱼烧"
"takoyaki (roast)","章鱼烧（烤）"
"takoyaki neko-san","章鱼烧猫山"
"takozonesu","takozonesu"
"taku michi","道拓"
"taku1122","taku1122"
"takuan","大观"
"takubon","takubon"
"takumi (fire emblem)","匠（火徽）"
"takumi (rozen garten)","takumi (rozen garten)"
"takumi (scya)","匠 (scya)"
"takunomi","拓海"
"takurowo","宅男"
"takuyarawr","takuyarawr"
"takuzui","拓瑞"
"tales of (series)","（系列）的故事"
"tales of arise","出现的故事"
"tales of berseria","狂战士的故事"
"tales of destiny","命运的故事"
"tales of destiny 2","命运的故事 2"
"tales of eternia","永恒的故事"
"tales of graces","恩典的故事"
"tales of hearts","心的故事"
"tales of innocence","纯真故事"
"tales of legendia","传奇故事"
"tales of phantasia","幻想曲"
"tales of rebirth","重生的故事"
"tales of symphonia","交响乐的故事"
"tales of symphonia knight of ratatosk","拉塔托斯克交响骑士的故事"
"tales of the abyss","深渊的故事"
"tales of vesperia","晚祷的故事"
"tales of xillia","希利亚的故事"
"tales of xillia 2","希利亚的故事 2"
"tales of zestiria","热情的故事"
"tales weaver","故事编织者"
"talho yuuki","talho yuuki"
"talim","塔利姆"
"talisman","护身符"
"talkex","talkex"
"talking","说话"
"talking on phone","打电话"
"tall","高"
"tall female","高个子女性"
"tall image","高大的形象"
"tallinn (azur lane)","塔林（碧蓝航线）"
"tally","理货"
"talon (league of legends)","利爪（英雄联盟）"
"talonflame","魔爪火焰"
"talons","爪子"
"talulah (arknights)","talulah（方舟之夜）"
"tam o' shanter","tam o' shanter"
"tam-u","谭-u"
"tama (aquarion)","多摩（水族馆）"
"tama (hiroshige 36)","多摩 (hiroshige 36)"
"tama (kancolle)","多摩 (kancolle)"
"tama (songe)","多摩（歌曲）"
"tama (soon32281)","多摩 (soon32281)"
"tama (tama-s)","多摩 (tama-s)"
"tama (tamago)","玉 (tamago)"
"tama kai ni (kancolle)","tama kai ni (kancolle)"
"tama satou","玉佐藤"
"tama yu","玉游"
"tamachi kuwa","田町桑"
"tamada heijun","玉田黑君"
"tamada tamaki","玉田玉木"
"tamade chiyu","玉手chiyu"
"tamagawa yukimaru","玉川幸丸"
"tamago (eva1314056)","玉子 (eva1314056)"
"tamago (yotsumi works)","tamago (yotsumi 作品)"
"tamagogayu1998","tamagogayu1998"
"tamagogogo","tamagogogo"
"tamagoroo","塔马戈鲁"
"tamagotchi","电子鸡"
"tamagoyaki","玉子烧"
"tamahana","玉花"
"tamahiyo","玉日"
"tamakaga","玉鹰"
"tamaki (princess connect!)","tamaki（公主连接！）"
"tamaki ako","玉木赤子"
"tamaki iroha","玉木叶羽"
"tamaki kotatsu","环被炉"
"tamaki mari","玉木玛丽"
"tamaki ui","玉木 ui"
"tamako market","玉子市场"
"tamakorogashi","玉子桥"
"tamamo (fate)","玉藻（命运）"
"tamamo (mon-musu quest!)","玉藻（mon-musu 任务！）"
"tamamo cat (fate)","玉藻猫（命运）"
"tamamo cat (first ascension) (fate)","玉藻猫（第一次升天）（命运）"
"tamamo cat (second ascension) (fate)","玉藻猫（第二次提升）（命运）"
"tamamo cat (third ascension) (fate)","玉藻猫（第三次提升）（命运）"
"tamamo cross (umamusume)","玉藻十字架 (umamusume)"
"tamamo no mae (fate/extra)","玉藻前（命运/额外）"
"tamamo no mae (fate/extra) (cosplay)","玉藻前 (fate/extra) (cosplay)"
"tamamo no mae (jk) (fate)","玉藻前 (jk) (命运)"
"tamamo no mae (sable mage) (fate)","tamamo no mae (sable mage) (fate)"
"tamamo no mae (spring casual) (fate)","玉藻前（春季休闲）（命运）"
"tamamo no mae (swimsuit lancer) (fate)","玉藻前（泳装枪手）（命运）"
"tamamo no mae (swimsuit lancer) (first ascension) (fate)","玉藻前（泳装枪手）（第一次升天）（命运）"
"tamamo no mae (swimsuit lancer) (second ascension) (fate)","玉藻前（泳装枪手）（第二次升天）（命运）"
"tamamo no mae (swimsuit lancer) (third ascension) (fate)","玉藻前（泳装枪手）（第三次升天）（命运）"
"tamamo no mae (third ascension) (fate)","玉藻前（第三次提升）（命运）"
"tamamon","塔玛蒙"
"tamanami (kancolle)","玉波 (kancolle)"
"tamandua ears","塔曼杜瓦耳朵"
"tamandua tail","塔曼杜瓦尾巴"
"tamanegiinyo","玉女阴阳"
"tamanoi peromekuri","tamanoi peromekuri"
"tamaoki benkyou","玉木弁乡"
"tamaru tokihiko","tamaru tokihiko"
"tamasaka makoto","玉坂诚"
"tamaso","塔马索"
"tamatoys","番茄"
"tamatsukuri misumaru","玉造三丸"
"tamayan","塔玛扬"
"tamayume","玉梅"
"tamayura","玉浦"
"tambourine","手鼓"
"tamezou","为伴"
"tamiku (shisyamo609)","tamiku (shisyamo609)"
"tamiya akito","田宫明人"
"tamiya incorporated","田宫公司"
"tamu (mad works)","tamu（疯狂的作品）"
"tamura hiro","田村浩"
"tamura hiyori","田村日和"
"tamura manami","田村真奈美"
"tamura yukari","田村由香里"
"tamura yuri","田村百合"
"tamute (2580rs)","驯服（2580rs）"
"tan","棕褐色"
"tan (inka)","棕褐色（印加）"
"tan (tangent)","tan（正切）"
"tan background","棕褐色背景"
"tan sweater","棕褐色毛衣"
"tan yang (kancolle)","谭阳 (kancolle)"
"tana (fire emblem)","塔纳（火徽）"
"tanabata","七夕"
"tanabe (fueisei)","田边 (fuisei)"
"tanabe kyou","田边镜"
"tanaji","塔纳吉"
"tanaka ahiru","田中阿希鲁"
"tanaka asuka","田中飞鸟"
"tanaka ayumu","田中步步103"
"tanaka gandamu","田中甘达木"
"tanaka ginji","田中银治"
"tanaka hime","田中姬141"
"tanaka hirotaka","田中广隆"
"tanaka io (craftstudio)","田中 io (craftstudio)"
"tanaka kaori","田中香织"
"tanaka ken'ichi","田中健一"
"tanaka kotoha","田中琴叶"
"tanaka kunihiko","田中邦彦"
"tanaka kusao","田中草尾"
"tanaka mako","田中真子"
"tanaka mamimi","田中真美"
"tanaka masayoshi","田中正吉"
"tanaka rie","田中理惠"
"tanaka rikimaru","田中力丸"
"tanaka ryou","田中亮"
"tanaka shoutarou","田中昭太郎"
"tanaka the wizard","田中巫师"
"tanaka yuuichi","田中悠一"
"tanakara","田中"
"tanamachi kaoru","田町薰"
"tanashi (mk2)","田无 (mk2)"
"tanasuke","田助"
"tandohark","坦多哈克"
"taneda yuuta","种田勇太"
"tanemura arina","种村有菜"
"tanemura koyori","种村小赖"
"taneshima popura","种子岛popura"
"tang keke","唐可可"
"tang sanzang","唐三藏"
"tangaroa (housamo)","坦加罗亚 (housamo)"
"tangela","唐格拉"
"tangled","纠结224"
"tango (tn500)","探戈 (tn500)"
"tangrowth","棕褐色生长"
"tangzhuang","唐庄"
"tani takeshi","谷武"
"tani takeshi (character)","谷武（角色）"
"tanigaki genjirou","谷垣源次郎"
"tanigawa kanna","谷川环奈"
"tanigawa yuzu","谷川柚子"
"taniguchi","谷口"
"taniguchi jun'ichirou","谷口润一郎"
"tanihara natsuki","谷原夏树 357"
"tanikaze (kancolle)","tanikaze (kancolle)"
"tanino gimlet (umamusume)","tanino gimlet (umamusume)"
"tanishi (tani4)","谷西 (tani4)"
"tank","坦克"
"tank (container)","罐（容器）"
"tank cupola","坦克冲天炉"
"tank destroyer","坦克歼击车"
"tank focus","坦克焦点"
"tank helmet","坦克头盔"
"tank interior","坦克内部"
"tank shell","罐壳"
"tank top","背心"
"tank turret","坦克炮塔"
"tankard","大酒杯"
"tankini","坦克尼"
"tanlines","tanlines"
"tanned cirno","晒黑的 cirno"
"tansan daisuki","丹山大月"
"tansuke","炭助"
"tantaka","坦塔卡"
"tantan men (dragon)","探探人（龙）"
"tantei opera milky holmes","侦探歌剧乳白色的福尔摩斯"
"tantei wa mou shindeiru","tantei wa mou shindeiru"
"tantou","探头"
"tantrum","发脾气"
"tanuki","狸猫"
"tanuki (ame to kimi to)","tanuki (ame to kimi to)"
"tanuki (kemono friends)","狸猫 (kemono 朋友)"
"tanuki yousuke","狸猫洋介"
"tanupo","塔努波"
"tanya degurechaff","坦尼娅·德古雷查夫"
"tanyatonya","坦尼亚通尼亚"
"tanzaku","弹幕"
"tao (kadoya)","道（门屋）"
"taokaka","淘卡卡"
"taowu (20809)","淘武 (20809)"
"tape","胶带"
"tape bondage","胶带束缚"
"tape gag","胶带堵嘴"
"tape measure","卷尺"
"tape on nipples","乳头上的胶带"
"tape on pussy","磁带上的猫"
"tapioka (oekakitapioka)","木薯 (oekakitapioka)"
"tapir","貘"
"tapir ears","貘耳朵"
"tapir tail","貘尾巴"
"tapisuke","竹助"
"tappa (esperanza)","塔帕（世界语）"
"tapris chisaki sugarbell","Tapris chisaki 糖铃"
"tapu koko","塔普可可"
"tapu lele","塔普乐乐"
"tar-21 (girls' frontline)","tar-21（少女前线）"
"tarachine","焦油麻"
"tarakanovich","塔拉卡诺维奇"
"tarayama","塔拉山"
"tarbo (exxxpiation)","塔博（淘汰）"
"tare (tonikaku magaru)","皮重 (tonikaku magaru)"
"tareme","皮重"
"target","目标"
"target practice","目标实践"
"tari tari","塔里塔里"
"tariah furlow","塔利亚弗洛"
"tarmo","塔莫"
"tarnished (elden ring)","失去光泽（elden 戒指）"
"taro (taro)","芋头(芋头)"
"taro (ultrataro)","芋头 (ultrataro)"
"taro-k","芋头"
"tarot","塔罗牌"
"tarou tachi","太郎太极"
"taroumaru (genshin impact)","芋丸（原神冲击）"
"tart (food)","馅饼（食品）"
"tartaglia (genshin impact)","tartaglia（原神冲击）"
"taru neko","塔鲁猫"
"taruhi","樽日"
"tarutaru","塔鲁塔鲁"
"taruya","樽屋"
"tasaka shinnosuke","tasaka shinnosuke"
"taser","泰瑟枪"
"tashigi","扎木"
"tashkent (azur lane)","塔什干（碧蓝航线）"
"tashkent (kancolle)","塔什干 (kancolle)"
"tashkent (the bound cruiser) (azur lane)","塔什干（绑定巡洋舰）（蔚蓝航线）"
"task (s task80)","任务（s 任务80）"
"task owner","任务所有者"
"tasmanian devil (kemono friends)","塔斯马尼亚恶魔（kemono 朋友）"
"tasmanian devil ears","塔斯马尼亚恶魔耳朵"
"tasmanian devil tail","塔斯马尼亚恶魔尾巴"
"tasogare otome x amnesia","tasogare 乙女 x 失忆症"
"tasora","塔索拉"
"tassel","流苏"
"tassel choker","流苏项链"
"tassel earrings","流苏耳环"
"tassel hair ornament","流苏发饰"
"tasting","品尝"
"tasting plate","品尝盘"
"tasuki","tasuki"
"tataki tuna","鞑靼金枪鱼"
"tatami","榻榻米"
"tatami to hinoki","榻榻米到桧木"
"tatapopo","塔塔波波"
"tatara kogasa","tatara kogasa"
"tatara kogasa (umbrella)","tatara kogasa (伞)"
"tatata","塔塔塔"
"tate eboshi","tate eboshi"
"tate no yuusha no nariagari","tate no yuusha no nariagari"
"tatebayashi sakurako","馆林樱子"
"tategami aoi","立上葵"
"tateha (marvelous grace)","tateha（奇妙的恩典）"
"tateishi kureha","立石吴羽"
"tatekawa mako","立川真子"
"tateyama ayano","立山绫野"
"tatsuki (irodori) (style)","tatsuki (irodori) (风格)"
"tatsumaki","龙卷"
"tatsumi kanji","辰巳汉字"
"tatsumi kon","辰巳近"
"tatsumi koutarou","辰巳光太郎"
"tatsumi ray","巽鳐"
"tatsumiya kagari","tatsumiya kagari"
"tatsumiya mana","辰宫法力153"
"tatsunami youtoku","tatsunami 优德"
"tatsuno newo","tatsuno newo"
"tatsunokosso","tatsunokosso"
"tatsuta (kancolle)","tatsuta (kancolle)"
"tatsuta kai ni (kancolle)","tatsuta kai ni (kancolle)"
"tatsuya (guild plus)","达也（公会加）"
"tattoo","纹身"
"taunting","嘲讽"
"taur","牛头人"
"taurine 8000mg","牛磺酸 8000mg"
"tauros","金牛座"
"taurus mask","金牛座面具"
"taut clothes","紧身衣服"
"taut dress","紧身连衣裙"
"taut leotard","紧身连衣裤"
"taut shirt","紧身衬衫"
"taut shorts","紧身短裤"
"taut skirt","紧身裙"
"taut sweater","紧身毛衣"
"taut swimsuit","紧身泳衣"
"tavern","小酒馆"
"tawashi1623","塔瓦西1623"
"tawawa challenge","塔瓦瓦挑战"
"taxi","出租车"
"taya oco","塔亚奥科"
"tayako","tayako"
"tayelle ebonclaw","泰尔黑檀爪"
"tayo","大洋"
"tayutama","鲇玉"
"tayuya (naruto)","tayuya（火影忍者）"
"tazuma (u283)","和马 (u283)"
"tcb","tcb"
"tdk","tdk"
"te toga","特托加"
"tea","茶"
"tea (cafe-chan to break time)","茶（咖啡厅休息时间）"
"tea (nakenashi)","茶（中无）"
"tea party","茶话会"
"tea set","茶具"
"teabag","茶包"
"teacher","老师"
"teacher and student","老师和学生"
"teaching","教学"
"teacup","茶杯"
"team 9","团队 9"
"team aqua","水族队"
"team flare","团队耀斑"
"team fortress 2","军团要塞 2"
"team galactic","银河队"
"team galactic uniform","团队银河制服"
"team magma","团队岩浆"
"team magma uniform","团队岩浆制服"
"team plasma","团队等离子"
"team plasma grunt","团队等离子咕噜声"
"team rocket","火箭队"
"team rocket grunt","火箭队咕噜声"
"team rocket uniform","火箭队服"
"team skull","团队头骨"
"team skull grunt","团队骷髅咕噜声"
"team skull uniform","团队骷髅制服"
"team spica's trainer","spica 队的教练"
"team yell","团队呐喊"
"team yell grunt","团队呼喊"
"team7","团队7"
"teamwork","团队合作"
"teana lanster","天籁兰斯特"
"teapot","茶壶"
"tear grants","催泪款"
"tear ring saga","泪环传奇"
"teardrop","泪珠"
"teardrop facial mark","泪滴面部标记"
"teardrop tattoo","泪珠纹身"
"teardrop-framed glasses","泪珠框眼镜"
"tearing clothes","撕裂衣服"
"tearing up","撕毁"
"tearju lunatique","泪珠疯子"
"tears","眼泪"
"tears of themis","忒弥斯的眼泪"
"teasing","戏弄"
"teaspoon","茶匙"
"tebi (tbd11)","特比 (tbd11)"
"techi (techi35499)","技术 (techi35499)"
"tedain","泰丹"
"teddiursa","泰迪乌萨"
"teddy (khanshin)","泰迪 (khanshin)"
"teddy bear","泰迪熊"
"tedeza rize","泰德萨里泽"
"tedeza rize's school uniform","tedeza rize 的校服"
"teekyuu","teekyuu"
"teemo","提莫"
"teemu taiga","temu taiga"
"teen titans","少年泰坦"
"teenage","青少年"
"teenage mutant ninja turtles","忍者神龟"
"teepo (tales)","蒂波（故事）"
"teeta j","蒂塔 j"
"teeth","牙齿"
